State_UT,Year,Primary_Boys,Primary_Girls
A & N Islands,2013-14,1.35,1.06
A & N Islands,2014-15,0.47,0.55
Andhra Pradesh,2013-14,4.31,4.39
Andhra Pradesh,2014-15,6.57,6.89
Arunachal Pradesh,2013-14,11.54,10.22
Arunachal Pradesh,2014-15,11.51,10.09
Assam,2013-14,8.19,6.68
Assam,2014-15,16.07,14.65
Bihar,2013-14,2.38,1.79
Bihar,2014-15,0.35,
Chandigarh,2013-14,,
Chandigarh,2014-15,,
Chhattisgarh,2013-14,1.45,1.38
Chhattisgarh,2014-15,3.08,2.74
Dadra & Nagar Haveli,2013-14,1.05,2.17
Dadra & Nagar Haveli,2014-15,1.6,1.31
Daman & Diu,2013-14,1.06,0.59
Daman & Diu,2014-15,1.8,0.29
Delhi,2013-14,,
Delhi,2014-15,,
Goa,2013-14,0.08,0.33
Goa,2014-15,0.63,0.84
Gujarat,2013-14,0.5,1.06
Gujarat,2014-15,0.82,0.98
Haryana,2013-14,0.22,0.63
Haryana,2014-15,5.54,5.69
Himachal Pradesh,2013-14,0.57,0.34
Himachal Pradesh,2014-15,0.46,0.83
Jammu & Kashmir,2013-14,5.53,5.37
Jammu & Kashmir,2014-15,6.98,6.59
Jharkhand,2013-14,6.89,5.91
Jharkhand,2014-15,5.91,5.03
Karnataka,2013-14,2.42,2.21
Karnataka,2014-15,2.03,2.01
Kerala,2013-14,,
Kerala,2014-15,,
Lakshadweep,2013-14,0,
Lakshadweep,2014-15,,
Madhya Pradesh,2013-14,9.91,10.4
Madhya Pradesh,2014-15,6.48,6.72
Maharashtra,2013-14,0.51,0.59
Maharashtra,2014-15,1.26,1.25
Manipur,2013-14,17.27,18.74
Manipur,2014-15,9.5,9.83
Meghalaya,2013-14,11.3,9.39
Meghalaya,2014-15,10.35,8.56
Mizoram,2013-14,12.57,13.38
Mizoram,2014-15,10.17,10.03
Nagaland,2013-14,19.09,19.74
Nagaland,2014-15,6.18,5.02
Odisha,2013-14,2.83,3.05
Odisha,2014-15,2.91,2.81
Puducherry,2013-14,0.76,0.57
Puducherry,2014-15,0.36,0.38
Punjab,2013-14,1.35,1.21
Punjab,2014-15,2.89,3.25
Rajasthan,2013-14,7.76,9.12
Rajasthan,2014-15,5.02,5.02
Sikkim,2013-14,5.55,3.49
Sikkim,2014-15,3.75,0.62
Tamil Nadu,2013-14,0.53,0.39
Tamil Nadu,2014-15,,
Telangana,2013-14,6.04,5.57
Telangana,2014-15,2.21,1.94
Tripura,2013-14,3.63,3.52
Tripura,2014-15,1.37,1.19
Uttar Pradesh,2013-14,7.91,6.21
Uttar Pradesh,2014-15,9.08,8.04
Uttarakhand,2013-14,3.28,2.83
Uttarakhand,2014-15,4.37,3.67
West Bengal,2013-14,3.44,2.37
West Bengal,2014-15,2.13,0.79
